,CD_UNIDADE_EDUCACAO,NSE,indicador_rendimento_(P),provabr_matematica,provabr_portugues,provabr_media_padronizada,IDEB_2015_(N x P),CD_UNIDADE_EDUCACAO1,PROFICIENCIA_LP,PROFICIENCIA_MAT,PROFICIENCIA_CIE,NIVEL_LP,NIVEL_MAT,NIVEL_CIE,NIVEL_RED,Teste
0,108,54.43,0.99,219.55,204.56,5.87,5.8,108,163.72127659574463,164.34042553191483,147.75478723404262,2.3882978723404253,1.9734042553191489,1.7606382978723405,2.0904255319148937,1
1,191,51.88,0.96,216.51,215.81,6.02,5.8,191,170.84921874999992,163.6898437499999,159.65390625,2.4140625,1.890625,1.8203125,2.1640625,1
2,264,50.48,0.99,210.41,200.59,5.63,5.6,264,144.92955974842766,157.3283018867925,138.24968553459112,2.10062893081761,1.9811320754716981,1.7421383647798743,1.89937106918239,1
3,281,54.01,0.94,225.32,219.49,6.25,5.9,281,174.89575757575756,179.26121212121214,169.81151515151515,2.5515151515151517,2.2,2.012121212121212,2.4424242424242424,1
4,299,55.7,1.0,237.32,227.63,6.63,6.6,299,181.2703488372093,183.76918604651166,176.67500000000007,2.6569767441860463,2.2732558139534884,2.1744186046511627,2.2674418604651163,1
5,302,53.13,0.97,228.94,222.43,6.38,6.2,302,172.21673469387758,168.28326530612244,170.08081632653062,2.4857142857142858,1.9877551020408164,2.061224489795918,2.1714285714285713,1
6,311,51.23,0.95,218.86,212.12,6.0,5.7,311,160.71444444444444,160.8816666666667,155.18611111111113,2.3666666666666667,1.9055555555555554,1.8555555555555556,2.033333333333333,1
7,418,53.84,0.99,247.31,233.55,6.93,6.9,418,176.11171171171165,178.92162162162163,172.75315315315314,2.6936936936936937,2.2882882882882885,2.18018018018018,2.279279279279279,1
8,477,52.42,0.97,208.75,207.76,5.73,5.5,477,158.836305732484,161.76178343949044,159.38598726114654,2.2356687898089174,1.8980891719745223,1.802547770700637,1.8280254777070064,1
9,485,54.99,0.99,222.65,217.7,6.17,6.1,485,167.57937500000008,168.0487499999999,161.66875000000002,2.41875,1.99375,1.85625,2.20625,1
10,540,49.37,0.95,207.92,201.41,5.59,5.3,540,150.42989690721646,151.80515463917524,146.67474226804126,2.0051546391752577,1.597938144329897,1.597938144329897,1.8041237113402062,1
11,566,52.45,0.97,220.83,209.31,5.98,5.8,566,151.17846715328474,148.74452554744528,140.37080291970798,2.0036496350364965,1.6313868613138687,1.532846715328467,1.7518248175182483,1
12,892,53.67,0.97,222.05,224.37,6.28,6.1,892,178.8546511627907,176.78313953488367,169.64476744186038,2.645348837209302,2.13953488372093,2.0290697674418605,2.366279069767442,1
13,8834,54.04,0.97,212.42,213.13,5.89,5.7,8834,137.60245614035094,144.53789473684228,133.6354385964913,1.8877192982456141,1.6070175438596492,1.4596491228070176,1.5157894736842106,1
14,8842,49.01,0.97,211.68,198.75,5.62,5.5,8842,160.57172413793106,163.5206896551724,148.48758620689654,2.3379310344827586,1.9241379310344828,1.717241379310345,1.7655172413793103,1
15,9148,53.51,0.95,206.67,198.32,5.51,5.2,9148,158.3058558558558,158.12837837837836,138.41936936936943,2.2117117117117115,1.882882882882883,1.572072072072072,1.9009009009009008,1
16,9156,53.21,0.98,228.43,215.4,6.24,6.1,9156,169.15038167938923,178.0885496183206,168.52671755725194,2.198473282442748,1.900763358778626,1.702290076335878,2.099236641221374,1
17,9326,57.01,0.97,211.64,211.68,5.85,5.7,9326,163.56991150442485,181.22477876106188,163.10884955752215,2.2831858407079646,2.1150442477876106,1.9646017699115044,2.15929203539823,1
18,9971,50.5,0.93,222.27,208.34,5.99,5.6,9971,160.51737451737446,157.4467181467182,147.47760617760616,2.335907335907336,1.9034749034749034,1.7413127413127414,2.0965250965250966,1
19,10049,51.19,0.97,202.9,198.09,5.44,5.3,10049,150.81520270270263,143.56216216216217,141.85945945945952,2.10472972972973,1.5912162162162162,1.5675675675675675,1.8074324324324325,1
20,10103,54.12,0.96,223.56,219.9,6.23,6.0,10103,153.1806306306306,160.17612612612615,140.96756756756764,2.1486486486486487,1.864864864864865,1.6081081081081081,1.9684684684684686,1
21,10111,52.16,0.99,212.51,203.79,5.72,5.6,10111,153.11260997067453,158.80674486803522,139.1310850439883,2.1466275659824046,1.8416422287390029,1.5542521994134897,1.7419354838709677,1
22,10120,50.86,0.96,207.5,205.29,5.66,5.4,10120,154.58135593220348,153.1898305084745,138.82542372881358,2.152542372881356,1.7514124293785311,1.5875706214689265,1.8644067796610169,1
23,10138,53.03,0.97,213.95,198.87,5.66,5.5,10138,164.1140495867767,165.94586776859504,150.82479338842978,2.3801652892561984,2.020661157024793,1.7851239669421488,2.0,1
24,10146,51.88,0.97,205.75,191.01,5.36,5.2,10146,150.85707070707068,160.34696969696975,150.48080808080812,2.0555555555555554,1.7878787878787878,1.696969696969697,1.2525252525252526,1
25,10154,52.74,0.98,216.14,219.07,6.07,6.0,10154,166.12234042553195,164.90531914893617,163.66542553191493,2.3297872340425534,1.8670212765957446,1.8351063829787233,1.9361702127659575,1
26,10162,51.93,0.95,224.97,211.99,6.11,5.8,10162,168.9103139013453,162.6246636771301,150.89641255605383,2.381165919282511,1.905829596412556,1.7533632286995515,2.1838565022421523,1
27,10171,52.19,0.97,222.33,217.82,6.17,6.0,10171,147.71919642857148,152.03749999999997,145.62499999999997,2.1205357142857144,1.71875,1.6294642857142858,1.8214285714285714,1
28,10405,52.47,0.99,212.68,208.79,5.82,5.8,10405,147.44181818181818,136.9139393939394,135.64787878787874,2.103030303030303,1.5818181818181818,1.5636363636363637,1.6242424242424243,1
29,10413,52.17,0.99,211.84,204.7,5.73,5.7,10413,158.44255319148934,153.38457446808513,147.69095744680857,2.377659574468085,1.8829787234042554,1.7925531914893618,1.898936170212766,1
30,10421,54.41,0.97,225.07,224.4,6.34,6.1,10421,165.57499999999996,161.6357954545455,150.9835227272727,2.403409090909091,1.9034090909090908,1.7784090909090908,1.9772727272727273,1
31,11533,50.33,0.94,204.36,209.11,5.67,5.3,11533,132.95507246376803,126.11884057971012,119.35797101449276,1.7753623188405796,1.355072463768116,1.2536231884057971,1.536231884057971,1
32,11851,54.02,0.97,230.96,214.21,6.27,6.1,11851,167.64798206278044,176.4520179372198,153.6560538116592,2.4170403587443947,2.10762331838565,1.7847533632286996,2.098654708520179,1
