index;CD_UNIDADE_EDUCACAO;NSE;indicador_rendimento_(P);provabr_matematica;provabr_portugues;provabr_media_padronizada;IDEB_2015_(N x P);PROFICIENCIA_LP;PROFICIENCIA_MAT;PROFICIENCIA_MEDIA;NIVEL_LP;NIVEL_MAT;NIVEL_MEDIO
0;108;54.43;0.99;219.55;204.56;5.87;5.8;163.72;164.34;158.6;2.38;1.97;2.05
1;191;51.88;0.96;216.51;215.81;6.02;5.8;170.84;163.68;164.73;2.41;1.89;2.07
2;264;50.48;0.99;210.41;200.59;5.63;5.6;144.92;157.32;146.83;2.1;1.98;1.93
3;281;54.01;0.94;225.32;219.49;6.25;5.9;174.89;179.26;174.65;2.55;2.2;2.3
4;299;55.7;1.0;237.32;227.63;6.63;6.6;181.27;183.76;180.57;2.65;2.27;2.34
5;302;53.13;0.97;228.94;222.43;6.38;6.2;172.21;168.28;170.19;2.48;1.98;2.17
6;311;51.23;0.95;218.86;212.12;6.0;5.7;160.71;160.88;158.92;2.36;1.9;2.04
7;418;53.84;0.99;247.31;233.55;6.93;6.9;176.11;178.92;175.92;2.69;2.28;2.36
8;477;52.42;0.97;208.75;207.76;5.73;5.5;158.83;161.76;159.99;2.23;1.89;1.94
9;485;54.99;0.99;222.65;217.7;6.17;6.1;167.57;168.04;165.76;2.41;1.99;2.11
10;540;49.37;0.95;207.92;201.41;5.59;5.3;150.42;151.8;149.63;2;1.59;1.75
11;566;52.45;0.97;220.83;209.31;5.98;5.8;151.17;148.74;146.76;2;1.63;1.72
12;892;53.67;0.97;222.05;224.37;6.28;6.1;178.85;176.78;175.09;2.64;2.13;2.29
13;8834;54.04;0.97;212.42;213.13;5.89;5.7;137.6;144.53;138.59;1.88;1.6;1.61
14;8842;49.01;0.97;211.68;198.75;5.62;5.5;160.57;163.52;157.52;2.33;1.92;1.93
15;9148;53.51;0.95;206.67;198.32;5.51;5.2;158.3;158.12;151.61;2.21;1.88;1.89
16;9156;53.21;0.98;228.43;215.4;6.24;6.1;169.15;178.08;171.92;2.19;1.9;1.97
17;9326;57.01;0.97;211.64;211.68;5.85;5.7;163.56;181.22;169.3;2.28;2.11;2.13
18;9971;50.5;0.93;222.27;208.34;5.99;5.6;160.51;157.44;155.14;2.33;1.9;2.01
19;10049;51.19;0.97;202.9;198.09;5.44;5.3;150.81;143.56;145.41;2.1;1.59;1.76
20;10103;54.12;0.96;223.56;219.9;6.23;6.0;153.18;160.17;151.44;2.14;1.86;1.89
21;10111;52.16;0.99;212.51;203.79;5.72;5.6;153.11;158.8;150.35;2.14;1.84;1.82
22;10120;50.86;0.96;207.5;205.29;5.66;5.4;154.58;153.18;148.86;2.15;1.75;1.83
23;10138;53.03;0.97;213.95;198.87;5.66;5.5;164.11;165.94;160.29;2.38;2.02;2.04
24;10146;51.88;0.97;205.75;191.01;5.36;5.2;150.85;160.34;153.89;2.05;1.78;1.69
25;10154;52.74;0.98;216.14;219.07;6.07;6.0;166.12;164.9;164.89;2.32;1.86;1.99
26;10162;51.93;0.95;224.97;211.99;6.11;5.8;168.91;162.62;160.81;2.38;1.9;2.05
27;10171;52.19;0.97;222.33;217.82;6.17;6.0;147.71;152.03;148.46;2.12;1.71;1.82
28;10405;52.47;0.99;212.68;208.79;5.82;5.8;147.44;136.91;140;2.1;1.58;1.71
29;10413;52.17;0.99;211.84;204.7;5.73;5.7;158.44;153.38;153.17;2.37;1.88;1.98
30;10421;54.41;0.97;225.07;224.4;6.34;6.1;165.57;161.63;159.39;2.4;1.9;2.01
31;11533;50.33;0.94;204.36;209.11;5.67;5.3;132.95;126.11;126.14;1.77;1.35;1.48
32;11851;54.02;0.97;230.96;214.21;6.27;6.1;167.64;176.45;165.91;2.41;2.1;2.1
33;11924;53.31;0.93;225.09;211.6;6.11;5.7;173.22;180.78;173.8;2.52;2.17;2.22
34;12157;52.24;0.99;207.55;202.2;5.6;5.6;144.22;131.21;133.94;2.05;1.42;1.63
35;12688;51.44;0.99;209.56;202.02;5.64;5.6;153.43;149.92;151.06;2.15;1.69;1.82
36;12874;50.43;0.97;206.78;205.48;5.65;5.5;137.82;143.4;134.58;1.85;1.67;1.61
37;12939;52.06;0.96;201.74;192.99;5.32;5.1;164.08;162.11;158.76;2.37;1.83;1.99
38;13510;52.16;0.98;215.4;205.41;5.81;5.7;148.89;151.23;145.72;2.11;1.73;1.77
39;13528;51.07;0.95;185.65;174.89;4.69;4.5;155.01;152.01;148.54;2.2;1.74;1.83
40;13803;50.05;0.95;199.75;189.46;5.22;5.0;135.14;141.41;128.41;1.88;1.6;1.55
41;14249;54.02;0.99;220.15;223.59;6.23;6.2;151.83;141.5;146.26;2.06;1.56;1.78
42;14583;49.56;0.99;204.28;201.33;5.52;5.5;162.16;160.06;156.55;2.24;1.86;1.92
43;14699;52.45;0.99;215.62;209.43;5.89;5.8;168.06;164.42;163.24;2.38;1.9;2.06
44;15024;52.09;0.97;209.4;203.69;5.66;5.5;133.5;133.34;131.52;1.9;1.52;1.6
45;15121;56.52;0.99;223.47;220.28;6.23;6.2;177.17;174.34;171.92;2.53;2.01;2.12
46;15130;54.59;0.98;220.62;211.65;6.02;5.9;160.37;159.17;155.67;2.35;1.84;1.95
47;15296;54.7;0.96;220.87;218.72;6.16;5.9;169.92;163.39;162.53;2.46;1.93;2.08
48;15423;52.55;0.98;220.83;208.74;5.97;5.9;176.71;172.89;171.83;2.58;2.12;2.21
49;15431;52.23;0.96;216.84;213.89;5.99;5.8;149.95;160.12;154.69;2.08;1.86;1.89
50;15440;52.52;0.99;202.69;188.24;5.25;5.2;155.98;157;153.7;2.14;1.75;1.85
51;16497;50.64;0.99;202.6;185.14;5.2;5.2;142.5;141.01;137.05;1.96;1.62;1.71
52;16501;53.84;0.99;229.24;218.44;6.31;6.3;186.59;182.31;181.09;2.68;2.19;2.3
53;16519;51.84;0.98;218.31;213.27;6.01;5.9;159.9;154.87;153.28;2.27;1.75;1.9
54;16527;51.24;0.98;227.19;223.76;6.37;6.2;150.67;152.71;147.03;2.09;1.78;1.79
55;16713;51.16;0.98;216.52;213.56;5.98;5.8;165.23;153.69;157.02;2.25;1.65;1.9
56;16993;52.62;0.98;229.99;219.53;6.34;6.2;179.43;173.72;173.43;2.58;2.06;2.2
57;17272;56.71;0.99;233.48;217.73;6.38;6.3;162.7;165.54;163.39;2.24;1.89;2.05
58;17442;51.9;0.91;209.77;198.26;5.57;5.0;149.26;157.22;147.12;2.02;1.82;1.79
59;17523;51.84;1.0;208.75;198.94;5.56;5.6;156.07;156.45;146.53;2.17;1.82;1.82
60;17973;50.74;0.98;202.63;201.32;5.49;5.4;128.31;134.99;129.2;1.72;1.47;1.52
61;17981;50.59;0.97;214.52;201.18;5.72;5.6;153.61;148.68;148.75;2.21;1.7;1.85
62;18210;56.09;0.98;231.71;222.31;6.43;6.3;165.95;174.89;167.57;2.4;2.12;2.14
63;18511;52.71;0.99;213.05;200.16;5.67;5.6;151.51;153.33;149.43;2.16;1.83;1.85
64;18546;52.97;0.96;213.85;209.6;5.86;5.6;158.06;161.46;156.78;2.32;1.96;2
65;18830;49.32;0.94;221.8;207.89;5.98;5.6;162.32;160.15;156.66;2.28;1.93;1.96
66;19011;51.34;0.96;224.04;218.93;6.22;6.0;169.21;172.19;167.07;2.38;2.04;2.06
67;19020;50.95;0.98;197.28;188.67;5.16;5.1;142.02;143.95;139.98;1.98;1.63;1.7
68;19046;49.17;0.99;220.94;208.45;5.97;5.9;160.17;161.34;157.04;2.31;1.93;1.97
69;19143;54.74;0.97;233.01;220.31;6.42;6.2;155.44;161.88;153.93;2.22;1.92;1.92
70;19160;52.5;0.99;246.63;230.78;6.87;6.8;187.62;182.23;180.12;2.68;2.18;2.32
71;19194;52.83;1.0;213.36;209.36;5.84;5.8;167.59;167.21;162.78;2.39;1.91;2.03
72;19195;50.5;0.96;199.73;191.42;5.26;5.1;145.51;154.19;148.97;2.01;1.79;1.77
73;19196;50.62;0.98;210.06;200.64;5.62;5.5;166.97;159.91;160.12;2.37;1.84;2.01
74;19208;51.99;0.97;224.1;210.16;6.06;5.9;149.11;148.72;146.99;2;1.63;1.73
75;19215;55.13;0.99;237.16;227.17;6.62;6.6;174.96;178.82;172.8;2.55;2.16;2.24
76;19216;51.72;0.96;211.17;199.48;5.62;5.4;133.97;142.11;134.21;1.88;1.63;1.65
77;19217;50.33;0.97;203.01;190.65;5.3;5.2;155.92;162.49;161.9;2.19;1.94;2
78;19218;52.2;0.95;239.15;231.34;6.73;6.4;169.68;165.29;163.99;2.45;2;2.08
79;19219;53.63;0.97;215.86;205.82;5.83;5.6;132.53;135.72;132.72;1.82;1.53;1.59
80;19220;52.03;0.98;204.86;189.08;5.31;5.2;144.82;150.16;143.07;2.04;1.79;1.72
81;19221;52.99;1.0;220.06;211.45;6.01;6.0;168.58;170.23;166.44;2.44;2.1;2.16
